"","ID","focal","competitor","density","competition","inoculum","decay","treatment","tot_focal","tot_comp","Above_focal","Above_comp","Below_focal","Below_comp","Remove_density","Above_focal_initial","Below_focal_initial","tot_focal_initial","Above_comp_initial","Below_comp_initial","tot_comp_initial","moss"
"209","209","MACHZU","MACHZU",0,"conspecific","unsterilized+dead","dead","unsterilized",0.31243,0,0.21004,0,0.10239,0,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,100
"210","210","MACHZU","MACHZU",1,"conspecific","unsterilized+dead","dead","unsterilized",0.287999916005345,0.246240083994655,0.18334,0.18335,0.104659916005345,0.0628900839946549,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,100
"211","211","MACHZU","MACHZU",2,"conspecific","unsterilized+dead","dead","unsterilized",0.210168286348502,0.345991713651498,0.15363,0.25182,0.0565382863485017,0.0941717136514983,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,100
"212","212","MACHZU","MACHZU",4,"conspecific","unsterilized+dead","dead","unsterilized",0.467428305893095,1.08792169410691,0.2944,0.73511,0.173028305893095,0.352811694106905,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,100
"213","213","ENGERO","MACHZU",0,"heterospecific","unsterilized+dead","dead","unsterilized",0.20329,0,0.13825,0,0.06504,0,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,100
"214","214","ENGERO","MACHZU",1,"heterospecific","unsterilized+dead","dead","unsterilized",0.76921,0.65932,0.56947,0.36284,0.19974,0.29648,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,100
"215","215","ENGERO","MACHZU",2,"heterospecific","unsterilized+dead","dead","unsterilized",0.23679,1.00603,0.18271,0.67401,0.05408,0.33202,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,100
"216","216","ENGERO","MACHZU",4,"heterospecific","unsterilized+dead","dead","unsterilized",0.32459,1.28824,0.26341,0.80747,0.06118,0.48077,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,100
"217","217","MACHZU","MACHZU",0,"conspecific","sterilized+dead","dead","sterilized",0.08698,0,0.05122,0,0.03576,0,2,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"218","218","MACHZU","MACHZU",1,"conspecific","sterilized+dead","dead","sterilized",0.291061353206367,0.478398646793633,0.20489,0.33856,0.0861713532063667,0.139838646793633,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"219","219","MACHZU","MACHZU",2,"conspecific","sterilized+dead","dead","sterilized",0.247916209261495,0.420843790738505,0.12971,0.23481,0.118206209261495,0.186033790738505,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"220","220","MACHZU","MACHZU",4,"conspecific","sterilized+dead","dead","sterilized",0.358737662105088,1.54079233789491,0.22089,1.0411,0.137847662105088,0.499692337894912,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"221","221","ENGERO","MACHZU",0,"heterospecific","sterilized+dead","dead","sterilized",0.14104,0,0.1081,0,0.03294,0,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"222","222","ENGERO","MACHZU",1,"heterospecific","sterilized+dead","dead","sterilized",0.22017,0.23691,0.19799,0.10103,0.02218,0.13588,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,3
"223","223","ENGERO","MACHZU",2,"heterospecific","sterilized+dead","dead","sterilized",0.46845,0.44903,0.37956,0.30347,0.08889,0.14556,0,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,0
"224","224","ENGERO","MACHZU",4,"heterospecific","sterilized+dead","dead","sterilized",0.03126,1.14778,0.02565,0.7781,0.00561,0.36968,2,0.0135813333333333,0.004368,0.0179493333333333,0.0587506666666667,0.0310586666666667,0.0898093333333333,5
"225","225","MACHZU","ENGERO",0,"heterospecific","unsterilized+living","living","unsterilized",0.28219,0,0.18348,0,0.09871,0,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,100
"226","226","MACHZU","ENGERO",1,"heterospecific","unsterilized+living","living","unsterilized",0.42548,0.97572,0.2894,0.78409,0.13608,0.19163,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,100
"227","227","MACHZU","ENGERO",2,"heterospecific","unsterilized+living","living","unsterilized",0.2541,0.55888,0.16198,0.40573,0.09212,0.15315,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,100
"228","228","MACHZU","ENGERO",4,"heterospecific","unsterilized+living","living","unsterilized",0.39338,0.97401,0.19291,0.80855,0.20047,0.16546,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,90
"229","229","ENGERO","ENGERO",0,"conspecific","unsterilized+living","living","unsterilized",0.66723,0,0.53073,0,0.1365,0,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,100
"230","230","ENGERO","ENGERO",1,"conspecific","unsterilized+living","living","unsterilized",0.26243,0.08469,0.18482,0.08061,0.07761,0.00408,1,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,100
"231","231","ENGERO","ENGERO",2,"conspecific","unsterilized+living","living","unsterilized",0.809767650370855,1.34287234962915,0.63815,1.13613,0.171617650370855,0.206742349629145,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,100
"232","232","ENGERO","ENGERO",4,"conspecific","unsterilized+living","living","unsterilized",0.344694082972517,2.70762591702748,0.27616,2.13042,0.068534082972517,0.577205917027483,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,100
"233","233","MACHZU","ENGERO",0,"heterospecific","sterilized+living","living","sterilized",0.16486,0,0.10463,0,0.06023,0,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,0
"234","234","MACHZU","ENGERO",1,"heterospecific","sterilized+living","living","sterilized",0.28917,0.29988,0.20834,0.09718,0.08083,0.2027,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,0
"235","235","MACHZU","ENGERO",2,"heterospecific","sterilized+living","living","sterilized",0.8683,0.23988,0.5975,0.18958,0.2708,0.0503,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,50
"236","236","MACHZU","ENGERO",4,"heterospecific","sterilized+living","living","sterilized",0.1705,0.51026,0.11165,0.40895,0.05885,0.10131,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,0
"237","237","ENGERO","ENGERO",0,"conspecific","sterilized+living","living","sterilized",0.10283,0,0.08282,0,0.02001,0,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,0
"238","238","ENGERO","ENGERO",1,"conspecific","sterilized+living","living","sterilized",0.147635034992036,0.106554965007964,0.11677,0.09042,0.0308650349920363,0.0161349650079637,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,40
"239","239","ENGERO","ENGERO",2,"conspecific","sterilized+living","living","sterilized",0.22038,0.65248,0.18232,0.51057,0.03806,0.14191,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,20
"240","240","ENGERO","ENGERO",4,"conspecific","sterilized+living","living","sterilized",0.195090977815326,0.608399022184674,0.15706,0.48212,0.0380309778153259,0.126279022184674,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,3
"241","241","MACHZU","ENGERO",0,"heterospecific","unsterilized+dead","dead","unsterilized",0.28825,0,0.20334,0,0.08491,0,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,100
"242","242","MACHZU","ENGERO",1,"heterospecific","unsterilized+dead","dead","unsterilized",0.2119,0.34517,0.12832,0.27899,0.08358,0.06618,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,100
"243","243","MACHZU","ENGERO",2,"heterospecific","unsterilized+dead","dead","unsterilized",0.24924,0.23774,0.1583,0.17821,0.09094,0.05953,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,100
"244","244","MACHZU","ENGERO",4,"heterospecific","unsterilized+dead","dead","unsterilized",0.33795,0.8958,0.19139,0.67075,0.14656,0.22505,0,0.0587506666666667,0.0310586666666667,0.0898093333333333,0.0135813333333333,0.004368,0.0179493333333333,100
"245","245","ENGERO","ENGERO",0,"conspecific","unsterilized+dead","dead","unsterilized",0.0923,0,0.08137,0,0.01093,0,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,100
"246","246","ENGERO","ENGERO",1,"conspecific","unsterilized+dead","dead","unsterilized",0.272208444548187,0.138051555451813,0.23138,0.11135,0.0408284445481866,0.0267015554518134,0,0.0135813333333333,0.004368,0.0179493333333333,0.0135813333333333,0.004368,0.0179493333333333,100
